ᎦᏗᎭ.	I am saying.
ᎭᏗᎭ.	You one are saying.
ᎠᏗᎭ.	He is saying.
ᎢᎾᏗᎭ.	You one and I, we are saying.
ᎣᏍᏓᏗᎭ.	He and I, we are saying.
ᎢᏓᏗᎭ.	You all and I, we are saying.
ᎣᏣᏗᎭ.	They and I, we are saying.
ᏍᏓᏗᎭ.	You two are saying.
ᎢᏣᏗᎭ.	You all are saying.
ᎠᎾᏗᎭ.	They are saying.
ᎠᏆᏛᏅᎢ.	I said a while ago.
ᏣᏛᏅᎢ.	You one said a while ago.
ᎤᏛᏅᎢ.	He said a while ago.
ᎩᎾᏛᏅᎢ.	You one and I, we said a while ago.
ᎣᎩᎾᏛᏅᎢ.	He and I, we said a while ago.
ᎢᎦᏛᏅᎢ.	You all and I, we said a while ago.
ᎣᎦᏛᏅᎢ.	They and I, we said a while ago.
ᏍᏓᏛᏅᎢ.	You two said a while ago.
ᎢᏣᏛᏅᎢ.	You all said a while ago.
ᎤᎾᏛᏅᎢ.	They said a while ago.
ᎦᏗᏍᎪᎢ.	I am often saying.
ᎭᏗᏍᎪᎢ.	You one are often saying.
ᎠᏗᏍᎪᎢ.	He is often saying.
ᎢᎾᏗᏍᎪᎢ.	You one and I, we are often saying.
ᎣᏍᏓᏗᏍᎪᎢ.	He and I, we are often saying.
ᎢᏓᏗᏍᎪᎢ.	You all and I, we are often saying.
ᎣᏣᏗᏍᎪᎢ.	They and I, we are often saying.
ᏍᏓᏗᏍᎪᎢ.	You two are often saying.
ᎢᏣᏗᏍᎪᎢ.	You all are often saying.
ᎠᎾᏗᏍᎪᎢ.	They are often saying.
ᏫᎦᏓ.	Let me say.
ᎭᏓ.	Let you one say.
ᏩᏓ.	Let him say.
ᎢᎾᏓ.	Let us, you one and me, say.
ᏬᏍᏓᏓ.	Let us, him and me, say.
ᎢᏓᏓ.	Let us, you all and me, say.
ᏬᏣᏓ.	Let us, them and me, say.
ᏍᏓᏓ.	Let you two say.
ᎢᏣᏓ.	Let you all say.
ᏩᎾᏓ.	Let them say.
ᎦᏓ.	I said recently.
ᎭᏓ.	You one said recently.
ᎠᏓ.	He said recently.
ᎢᎾᏓ.	You one and I, we said recently.
ᎣᏍᏓᏓ.	He and I, we said recently.
ᎢᏓᏓ.	You all and I, we said recently.
ᎣᏣᏓ.	They and I, we said recently.
ᏍᏓᏓ.	You two said recently.
ᎢᏣᏓ.	You all said recently.
ᎠᎾᏓ.	They said recently.
ᎠᏆᏘᏗ.	For me to say it.
ᏣᏘᏗ.	For you one to say it.
ᎤᏘᏗ.	For him to say it.
ᎩᎾᏘᏗ.	For us, you one and me, to say it.
ᎣᎩᎾᏘᏗ.	For us, him and me, to say it.
ᎢᎦᏘᏗ.	For us, you all and me, to say it.
ᎣᎦᏘᏗ.	For us, them and me, to say it.
ᏍᏓᏘᏗ.	For you two to say it.
ᎢᏣᏘᏗ.	For you all to say it.
ᎤᎾᏘᏗ.	For them to say it.
ᏥᎩᎠ.	I am eating a solid food.
ᏕᏥᎩᎠ.	I am eating solid foods.
ᎯᎩᎠ.	You one are eating a solid food.
ᏕᎯᎩᎠ.	You one are eating solid foods.
ᎠᎩᎠ.	He is eating a solid food.
ᏓᎩᎠ.	He is eating solid foods.
ᎢᏂᎩᎠ.	You one and I, we are eating a solid food.
ᏕᏂᎩᎠ.	You one and I, we are eating solid foods.
ᎣᏍᏗᎩᎠ.	He and I, we are eating a solid food.
ᏙᏍᏗᎩᎠ.	He and I, we are eating solid foods.
ᎢᏗᎩᎠ.	You all and I, we are eating a solid food.
